oooooooooooooooooooooooooooooooooooooooooooooooooooool00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l000000007oooooooooooooool3`00000000Oooooooooooooooo`?000000001oooooooooooooooo0l000000007oooooooooooooool3`00000000Oooooooooooooooo`?000000001oooooooooooooooo0l000000007oooooooooooooool3`00000000Oooooooooooooooo`?000000001oooooooooooooooo0l000000007oooooooooooooool3`00000000Oooooooooooooooo`?000000001oooooooooooooooo0l000000007oooooooooooooool3`00000000Oooooooooooooooo`?000000001oooooooooooooooo0l000000007oooooooooooooool3`00000000Oooooooooooooooo`?000000001oooooooooooooooo0l000000007oooooooooooooool3`00000000Oooooooooooooooo`?000000001oooooooooooooooo0l000000007oooooooooooooool3`00000000Oooooooooooooooo`?000000001oooooooooooooooo0l000000007oooooooooooooool3`00000000Oooooooooooooooo`?000000001oooooooooooooooo0l000000007oooooooooooooool3`00000000Oooooooooooooooo`?000000001oooooooooooooooo0l000000007oooooooooooooool3`00000000Oooooooooooooooo`?000000001oooooooooooooooo0l000000007oooooooooooooool3`00000000Oooooooooooooooooo000000001oooooooooooooooool000000007ooooooooooooooooo`00000000Oooooooooooooooooo000000001oooooooooooooooool000000007ooooooooooooooooo`00000000Oooooooooooooooo`?000000001oooooooooooooooo0l000000007oooooooooooooool3`00000000Oooooooooooooooo`?000000001oooooooooooooooo0l000000007oooooooooooooool3`00000000Oooooooooooooooo`?000000001oooooooooooooooo0l000000007oooooooooooooool3`00000000Oooooooooooooooo`?000000001oooooooooooooooo0l000000007oooooooooooooool3`00000000Oooooooooooooooo`?000000001oooooooooooooooo0l000000007oooooooooooooool3`00000000Oooooooooooooooo`?000000001oooooooooooooooo0l000000007oooooooooooooool3`00000000Oooooooooooooooo`?000000001oooooooooooooooo0l000000007oooooooooooooool3`00000000Oooooooooooooooo`?000000001oooooooooooooooo0l000000007oooooooooooooool3`00000000Oooooooooooooooo`?000000001oooooooooooooooo0l000000007oooooooooooooool3`00000000Oooooooooooooooo`?000000001oooooooooooooooo0l000000007oooooooooooooool3`00000000Oooooooooooooooo`?000000001oooooooooooooooo0l000000007oooooooooooooool3`00000000Oooooooooooooooo`?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?ooooooooooooooooooooooooooooooooooooooooooooooooooooo|80|45|158|45|
oooooooooooooooooooooooooooooooooooooooooooooooooooool00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?ooooooooooooooooooooooooooooooooooooooooooooooooooooo|8|45|158|45|(70,35)*10(5,15)o30~0.5 (90,55)*10(5,15)o30~0.5
oooooooooooooooooooooooooooooooooooooooooooooooooooool00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3l0000000000000000000003l3`?`000000000000000000000?`?0o0000000000000000000000o0l3l0000000000000000000003l3`?`000000000000000000000?`?0o0000000000000000000000o0l3l0000000000000000000003l3`?`000000000000000000000?`?0o0000000000000000000000o0l3l0000000000000000000003l3`?`000000000000000000000?`?0o0000000000000000000000o0l3l0000000000000000000003l3`?`000000000000000000000?`?0o0000000000000000000000o0l3l0000000000000000000003l3`?`000000000000000000000?`?0o0000000000000000000000o0l3l0000000000000000000003l3`?`000000000000000000000?`?0o0000000000000000000000o0l3l0000000000000000000003l3`?`000000000000000000000?`?0o0000000000000000000000ool3l0000000000000000000003oo`?`000000000000000000000?oo0o0000000000000000000000ool3l0000000000000000000003oo`?`000000000000000000000?oo0o000000000000000000000000l3l000000000000000000000003`?`00000000000000000000000?0o000000000000000000000000l3l0000000000000000000003oo`?`000000000000000000000?oo0o0000000000000000000000ool3l0000000000000000000003oo`?`000000000000000000000?oo0o0000000000000000000000ool3l0000000000000000000003l3`?`000000000000000000000?`?0o0000000000000000000000o0l3l0000000000000000000003l3`?`000000000000000000000?`?0o0000000000000000000000o0l3l0000000000000000000003l3`?`000000000000000000000?`?0o0000000000000000000000o0l3l0000000000000000000003l3`?`000000000000000000000?`?0o0000000000000000000000o0l3l0000000000000000000003l3`?`000000000000000000000?`?0o0000000000000000000000o0l3l0000000000000000000003l3`?`000000000000000000000?`?0o0000000000000000000000o0l3l0000000000000000000003l3`?`000000000000000000000?`?0o0000000000000000000000o0l3l0000000000000000000003l3`?`000000000000000000000?`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?ooooooooooooooooooooooooooooooooooooooooooooooooooooo|152|50|158|40|(135,65)*15(10,20) (25,65)*15(10,20) (25,25)*15(10,20) (135,25)*15(10,20)
oooooooooooooooooooooooooooooooooooooooooooooooooooool00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`00000000ol00000ol00000000?000000003o`00003o`00000000l00000000OoP0000OoP00000003`00000001on00001on00000000?00000000?ol0000?ol00000000l00000000oo`0000oo`00000003`00000007hOP0007hOP0000000?00000000OQn0000OQn00000000l00000000o3l0003l?`00000003`00000003l?`000?`o00000000?000000007hOP001n7h00000000l00000000OQn0007hOP00000003`00000000o3l000o3l00000000?000000003l?`003l?`00000000l000000007hOP00OQn000000003`00000000OQn001n7h00000000?000000000o3l00?`o000000000l000000003l?`00o3l000000003`000000007hOP07hOP00000000?000000000OQn00OQn000000000l000000000o3l03l?`000000003`000000003l?`0?`o000000000?0000000007hOP1n7h000000000l000000000OQn07hOP000000003`000000?ooo3ooo3ooo`000000?0000000oool?ool?ooo0000000l0000003ooohOooQoool0000003`000000?oooQoon7ooo`000000?0000000oooo3oo`oooo0000000l0000003oool?oo3oool0000003`000000?`000000000?`000000?0000000o0000000000o0000000l0000003l0000000003l0000003`000000?`000000000?`000000?0000000oooool?ooooo0000000l0000003ooooo`oooool0000003`000000?ooooo3ooooo`000000?0000000oooool?ooooo0000000l0000003ooooo`oooool0000003`000000?ooooo3ooooo`000000?000000000003l?`00000000000l00000000000?`o000000000003`00000000000o3l00000000000?000000000003l?`00000000000l00000000000?`o000000000003`00000000000o3l00000000000?000000000003l?`00000000000l00000000000?`o000000000003`000000?ooooo3ooooo`000000?0000000oooool?ooooo0000000l0000003ooooo`oooool0000003`000000?ooooo3ooooo`000000?0000000oooool?ooooo0000000l0000003ooooo`oooool0000003`000000?`000000000?`000000?0000000o0000000000o0000000l0000003l0000000003l0000003`000000?`000000000?`000000?0000000oooool?ooooo0000000l0000003ooooo`oooool0000003`000000?ooooo3ooooo`000000?0000000oooool?ooooo0000000l0000003ooooo`oooool0000003`000000?ooooo3ooooo`000000?000000000003l?`00000000000l00000000000?`o000000000003`00000000000o3l00000000000?000000000003l?`00000000000l00000000000?`o000000000003`00000000000o3l00000000000?000000000003l?`00000000000l00000000000?`o000000000003`00000000000o3l00000000000?000000000003l?`00000000000l00000000000?`o000000000003`00000000000o3l00000000000?000000000003l?`00000000000l00000000000?`o000000000003`00000000000o3l00000000000?000000000003l?`00000000000l00000000000?`o000000000003`00000000000o3l00000000000?ooooooooooooooooooooooooooooooooooooooooooooooooooooo|75|84|85|88|(60,50)*10(5,15)o5~0.5 (100,50)*10(5,15)o5~0.5 (80,15)*10(5,20)o10
oooooooooooooooooooooooooooooooooooooooooooooooooooool00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3l00000?`000000000000003l3`?`00000o000000000000000?`?0o000003l000000000000000o0l3l00000?`000000000000003l3`?ooooo`oooooooooooooool?`?0oooooo3ooooooooooooooo`o0l3oooool?ooooooooooooooo3l3`?ooooo`oooooooooooooool?`?0oooooo3ooooooooooooooo`o0l3l0003l?ooooooooooooooo3l3`?`000?`o00000000000003l?`?0o0000o3l0000000000000?`o0l3l0003l?`0000000000000o3l3`?oool?`o00000000000003l?`?0oooo`o3l?oooooooooool?`o0l3oooo3l?`oooooooooooo`o3l3`?oool?`o3oooooooooooo3l?`?0oooo`o3l?oooooooooool?`o0l3oooo3l?`oooooooooooo`o3l3`0003l?`o3oooooooooooo3l?`?0000?`o3l000000000003l?`o0l0000o3l?`00000000000?`o3l3`0003l?`o000000000000o3l?`?oool?`o3l000000000003l?`o0oooo`o3l?oooooooooool?`o3l3oooo3l?`oooooooooooo`o3l?`?oool?`o3oooooooooooo3l?`o0oooo`o3l?oooooooooool?`o3l3oooo3l?`oooooooooooo`o3l?`?003l?`o000000000000o3l?`o0l00?`o3l000000000003l?`o3l3`00o3l?`00000000000?`o3l?`?003l?`o000000000000o3l?`o0ool?`o3oooooooooooool?`o3l3oo`o3l?ooooooooooooo`o3l?`?oo3l?`oooooooooooooo3l?`o0ool?`o3oooooooooooool?`o3l3oo`o3l?ooooooooooooo`o3l?`?oo3l?`000000000000003l?`o0l3l?`o000000000000000?`o3l3`?`o3l000000000000000o3l?`?0o3l?`000000000000003l?`o0l3l?`ooooooooooooooooo`o3l3`?`o3ooooooooooooooooo3l?`?0o3l?ooooooooooooooool?`o0l3l?`ooooooooooooooooo`o3l3`?`o3ooooooooooooooooo3l?`?0o3l?ooooooooooooooool?`o0l3l?`0000000000000000?`o3l3`?`o00000000000000000o3l?`?0o3l00000000000000003l?`o0l3l?`0000000000000000?`o3l3`?`ooooooooooooooooooo3l?`?0o3ooooooooooooooooool?`o0l3l?oooooooooooooooooo`o3l3`?`ooooooooooooooooooo3l?`?0o3ooooooooooooooooool?`o0l3l?oooooooooooooooooo`o3l3`?`00000000000000000003l?`?0o00000000000000000000?`o0l3l00000000000000000000o3l3`?`00000000000000000003l?`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?ooooooooooooooooooooooooooooooooooooooooooooooooooooo|8|50|2|40|(80,45)*20(10,30)o20
oooooooooooooooooooooooooooooooooooooooooooooooooooool00000000000?`o000000000003`00000000000o3l00000000000?000000000003l?`00000000000l00000000000?`o000000000003`00000000000o3l00000000000?000000000003l?`00000000000l3ooooooooooo`oooooooooool3`?ooooooooooo3ooooooooooo`?0oooooooooool?ooooooooooo0l3ooooooooooo`oooooooooool3`?ooooooooooo3ooooooooooo`?0oooooooooool?ooooooooooo0l3ooooooooooo`oooooooooool3`?ooooooooooo3ooooooooooo`?0oooooooooool?ooooooooooo0l3ooooooooooo`oooooooooool3`?ooooooooooo3ooooooooooo`?0oooooooooool?ooooooooooo0l3ooooooooooo`oooooooooool3`?ooooooooooo3ooooooooooo`?0oooooooooool?ooooooooooo0l3ooooooooooo`oooooooooool3`?ooooooooooo3ooooooooooo`?0oooooooooool?ooooooooooo0l3ooooooooooo`oooooooooool3`?ooooooooooo3ooooooooooo`?0oooooooooool?ooooooooooo0l3ooooooooooo`oooooooooool3`?ooooooooooo3ooooooooooo`?0oooooooooool?ooooooooooo0l3ooooooooooo`oooooooooool3`?ooooooooooo3ooooooooooo`?0oooooooooool?ooooooooooo0l3ooooooooooo`oooooooooool3`?ooooooooooo3ooooooooooo`?0oooooooooool?ooooooooooo0l3ooooooooooo`oooooooooool3`?ooooooooooo3ooooooooooo`?0oooooooooool?ooooooooooo0l3ooooooooooo`oooooooooool3`?ooooooooooo3ooooooooooo`?0oooooooooool?ooooooooooo0l3ooooooooooo`oooooooooool3`?ooooooooooo3ooooooooooo`?0oooooooooool?ooooooooooo0l3ooooooooooo`oooooooooool3`?ooooooooooo3ooooooooooo`?0oooooooooool?ooooooooooo0l3ooooooooooo`oooooooooool3`?ooooooooooo3ooooooooooo`?0oooooooooool?ooooooooooo0l3ooooooooooo`oooooooooool3`?ooooooooooo3ooooooooooo`?0oooooooooool?ooooooooooo0l3ooooooooooo`oooooooooool3`?ooooooooooo3ooooooooooo`?0oooooooooool?ooooooooooo0l3ooooooooooo`oooooooooool3`?ooooooooooo3ooooooooooo`?0oooooooooool?ooooooooooo0l3ooooooooooo`oooooooooool3`?ooooooooooo3ooooooooooo`?0oooooooooool?ooooooooooo0l3ooooooooooo`oooooooooool3`?ooooooooooo3ooooooooooo`?0oooooooooool?ooooooooooo0l3ooooooooooo`oooooooooool3`?ooooooooooo3ooooooooooo`?0oooooooooool?ooooooooooo0l3ooooooooooo`oooooooooool3`?ooooooooooo3ooooooooooo`?0oooooooooool?ooooooooooo0l3ooooooooooo`oooooooooool3`?ooooooooooo3ooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?ooooooooooooooooooooooooooooooooooooooooooooooooooooo|75|8|85|2|(60,30)*15(10,20)o10 (60,60)*15(10,20)o10 (30,60)*25(15,35)o20~1.5 (30,30)*25(15,35)o20~1.5 (100,30)*15(10,20)o10 (100,60)*15(10,20)o10 (130,60)*25(15,35)o20~1.5 (130,30)*25(15,35)o20~1.5
oooooooooooooooooooooooooooooooooooooooooooooooooooool00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`000000001oooooon000000000?0000000007ooooooh000000000l000000000OooooooP000000003`000000001oooooon000000000?0000000007ooooooh000000000l000000000OooooooP000000003`000000001oooooon000000000?0000000007ooooooh000000000l000000000OooooooP000000003`000000001oooooon000000000?0000000007ooooooh000000000l000000000OooooooP000000003`000000001oooooon000000000?0000000007ooooooh000000000l000000000OooooooP000000003`000000001oooooon000000000?0000000007ooooooh000000000l000000000OooooooP000000003oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo`000000001oooooon000000000?0000000007ooooooh000000000l000000000OooooooP000000003`000000001oooooon000000000?0000000007ooooooh000000000l000000000OooooooP000000003`000000001oooooon000000000?0000000007ooooooh000000000l000000000OooooooP000000003`000000001oooooon000000000?0000000007ooooooh000000000l000000000OooooooP000000003`000000001oooooon000000000?0000000007ooooooh000000000l000000000OooooooP000000003`000000001oooooon000000000?0000000007ooooooh000000000l000000000OooooooP000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?00000000000000000000000000l00000000000000000000000003`0000000000000000000000000?ooooooooooooooooooooooooooooooooooooooooooooooooooooo|8|45|158|45|(80,45)*20(10,30)~1.5 (80,45)*20(10,30) (80,45)*15(5,25)~0.5
oooooooooooooooooooooooooooooooooooooooooooooooooooool0000000OP00000000OP0000003`0000001n000000001n0000000?00000007h000000007h0000000l0000000OP00000000OP0000003`0000001n000000001n0000000?00000007h000000007h0000000l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?0oooooooooooooooooooooooo0l3oooooooooooooooooooooool3`?ooooooooooooooooooooooo`?00000007h000000007h0000000l0000000OP00000000OP0000003`0000001n000000001n0000000?00000007h000000007h0000000l0000000OP00000000OP0000003`0000001n000000001n0000000?ooooooooooooooooooooooooooooooooooooooooooooooooooooo|8|45|158|45|(110,45)*30(20,40)o10
oooooooooooooooooooooooooooooooooooooooooooooooooooool0000000OP00000000OP0000003`0000001n000000001n0000000?00000007h000000007h0000000l0000000OP00000000OP0000003`0000001n000000001n0000000?00000007h000000007h0000000l0000000OP00000000OP0000003`0000001n000000001n0000000?00000007h000000007h0000000l0000000OP00000000OP0000003`0000001n000000001n0000000?00000007h000000007h0000000l0000000OP00000000OP0000003`0000001n000000001n0000000?00000007h000000007h0000000l0000000OP00000000OP0000003`0000001n000000001n0000000?00000007h000000007h0000000l0000000OP00000000OP0000003`0000001oooooooooon0000000?00000007ooooooooooh0000000l0000000OooooooooooP0000003`0000001oooooooooon0000000?00000007ooooooooooh0000000l0000000OooooooooooP0000003`0000000000000?`01n0000000?00000000000000o007h0000000l00000000000003l00OP0000003`0000000000000?`01n0000000?00000000000000o007h0000000l00000000000003l00OP0000003`0000000000000?`01n0000000?00000000000000o007h0000000l00000000000003l00OP0000003`0000000000000?`01n0000000?00000000000000o007h0000000l00000000000003l00OP0000003`0000000000000?`01n0000000?00000000000000o007h0000000l00000000000003l00OP0000003oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo`0000000000000?`01n0000000?00000000000000o007h0000000l00000000000003l00OP0000003`0000000000000?`01n0000000?00000000000000o007h0000000l00000000000003l00OP0000003`0000000000000?`01n0000000?00000000000000o007h0000000l00000000000003l00OP0000003`0000000000000?`01n0000000?00000000000000o007h0000000l00000000000003l00OP0000003`0000000000000?`01n0000000?00000000000000o007h0000000l00000000000003l00OP0000003`0000001oooooooooon0000000?00000007ooooooooooh0000000l0000000OooooooooooP0000003`0000001oooooooooon0000000?00000007ooooooooooh0000000l0000000OooooooooooP0000003`0000001n000000001n0000000?00000007h000000007h0000000l0000000OP00000000OP0000003`0000001n000000001n0000000?00000007h000000007h0000000l0000000OP00000000OP0000003`0000001n000000001n0000000?00000007h000000007h0000000l0000000OP00000000OP0000003`0000001n000000001n0000000?00000007h000000007h0000000l0000000OP00000000OP0000003`0000001n000000001n0000000?00000007h000000007h0000000l0000000OP00000000OP0000003`0000001n000000001n0000000?00000007h000000007h0000000l0000000OP00000000OP0000003`0000001n000000001n0000000?ooooooooooooooooooooooooooooooooooooooooooooooooooooo|8|45|158 50 50 110 110|45 2 88 2 88 S|(40,45)*10(5,15)o20 (75,35)*10(5,20) (75,55)*10(5,20) (100,35)*10(5,20) (100,55)*10(5,20)
oooooooooooooooooooooooooooooooooooooooooooooooooooool0000000OP00000000OP0000003`0000001n000000001n0000000?00000007h000000007h0000000l0000000OP00000000OP0000003`0000001n000000001n0000000?00000007h000000007h0000000l3oooooooQooooooohOooooool3`?oooooon7oooooooQooooooo`?0ooooooohOoooooon7ooooooo0l3oooooooQooooooohOooooool3`?00000007`00000000000003`?0l0000000O00000000000000?0l3`0000001l00000000000000l3`?00000007`00000000000003`?0l?ool?ooo3oooo`oooooool?0l3`ooo`oool?oooo3ooooooo`l3`?3ooo3ooo`ooool?ooooooo3`?0l?ool?ooo3oooo`oooooool?0l3`l03`l000?000?00l00003`l3`?3`0?3`000l000l03`0000?3`?0l?00l?0003`003`0?00000l?0l3`l03`l000?000?00l00003`l3`?3`l?oooool?o`ooo`ooooo3`?0l?3`oooooo`oo3ooo3ooool?0l3`l?3oooooo3ol?ool?oooo`l3`?3`l?oooool?o`ooo`ooooo3`?0l?3`0000000l?00003`000l?0l3`l?00000003`l0000?0003`l3`?3`l0000000?3`0000l000?3`?0l?3`0000000l?00003`000l?0l3ol?ooo`oooo`oo3ol?3ooo`l3`?o`oooo3oooo3ol?o`l?ooo3`?0oo3oool?oool?o`oo3`oool?0l3ol?ooo`oooo`oo3ol?3ooo`l3`?o`oooo3oooo3ol?o`l?ooo3`?0oo3oool?oool?o`oo3`oool?0l0000003`000?`l?o`l?3`000l3`000000?0000o3`oo3`l?0003`?0000000l0003l?3ol?3`l000?0l0000003`000?`l?o`l?3`000l3ooooooooooooo3`oo3ol?ooooooooooooooooool?000?o`ooooooooooooooooooo`l000oo3ooooooooooooooooooo3`003ol?ooooooooooooooooool?000?o`ooooooooooooooooooo`l?o`oo3oooooo`000000?0000o3`oo3`l?0003`?0000000l0003l?3ol?3`l000?0l0000003`000?`l?o`l?3`000l3`000000?0000o3`oo3`l?0003`?0oo3oool?oool?o`oo3`oool?0l3ol?ooo`oooo`oo3ol?3ooo`l3`?o`oooo3oooo3ol?o`l?ooo3`?0oo3oool?oool?o`oo3`oool?0l3ol?ooo`oooo`oo3ol?3ooo`l3`?o`oooo3oooo3ol?o`l?ooo3`?0l?3`0000000l?00003`000l?0l3`l?00000003`l0000?0003`l3`?3`l0000000?3`0000l000?3`?0l?3`0000000l?00003`000l?0l3`l?3oooooo3ol?ool?oooo`l3`?3`l?oooool?o`ooo`ooooo3`?0l?3`oooooo`oo3ooo3ooool?0l3`l?3oooooo3ol?ool?oooo`l3`?3`0?3`000l000l03`0000?3`?0l?00l?0003`003`0?00000l?0l3`l03`l000?000?00l00003`l3`?3`0?3`000l000l03`0000?3`?0l?ool?ooo3oooo`oooooool?0l3`ooo`oool?oooo3ooooooo`l3`?3ooo3ooo`ooool?ooooooo3`?0l?ool?ooo3oooo`oooooool?0l3`0000001l00000000000000l3`?00000007`00000000000003`?0l0000000O00000000000000?0l3`0000001l00000000000000l3`?oooooQoooooooooon7ooooo`?0ooooon7oooooooooohOooooo0l3ooooohOooooooooooQoooool3`?oooooQoooooooooon7ooooo`?00000007h000000007h0000000l0000000OP00000000OP0000003`0000001n000000001n0000000?00000007h000000007h0000000l0000000OP00000000OP0000003`0000001n000000001n0000000?ooooooooooooooooooooooooooooooooooooooooooooooooooooo|8|45|158 50 50 110 110|45 2 88 2 88 S|(130,45)*10(5,15)o20 (50,45)*10(5,15)o25 (95,30)*10(5,15)o15~0.7 (95,70)*10(5,15)o15~0.7
